date,max_temp,min_temp,avg_temp,depart,HDD,CDD,precip,new_snow,snow_depth
2010-03-12,55,48,51.5,5.3,13,0,0.61,0,0
2010-03-13,55,48,51.5,5.1,13,0,0.6,0,0
2010-03-14,52,49,50.5,3.8,14,0,0.31,0,0
2010-03-15,50,46,48,0.9,17,0,0.05,0,0
2010-03-16,64,45,54.5,7.1,10,0,0,0,0
2010-03-17,68,41,54.5,6.8,10,0,0,0,0
2010-03-18,71,41,56,8,9,0,0,0,0
2010-03-19,73,44,58.5,10.2,6,0,0,0,0
2010-03-20,74,46,60,11.3,5,0,0,0,0
2010-03-21,76,49,62.5,13.5,2,0,0,0,0
2010-03-22,65,51,58,8.7,7,0,0.53,0,0
2010-03-23,54,45,49.5,-0.2,15,0,0.01,0,0
2010-03-24,68,48,58,8,7,0,0,0,0
2010-03-25,74,47,60.5,10.1,4,0,0.02,0,0
2010-03-26,56,38,47,-3.7,18,0,0.32,0,0
2010-03-27,49,33,41,-10.1,24,0,0,0,0
2010-03-28,62,38,50,-1.5,15,0,0.8,0,0
2010-03-29,57,51,54,2.2,11,0,0.22,0,0
2010-03-30,57,45,51,-1.2,14,0,0.02,0,0
2010-03-31,71,49,60,7.4,5,0,T,0,0
2011-03-01,47,33,40,-3.2,25,0,0,0,0
2011-03-02,64,34,49,5.6,16,0,0,0,0
2011-03-03,41,27,34,-9.7,31,0,0,0,0
2011-03-04,50,30,40,-3.9,25,0,0,0,0
2011-03-05,60,41,50.5,6.3,14,0,T,0,0
2011-03-06,58,33,45.5,1,19,0,1.39,0,0
2011-03-07,48,33,40.5,-4.2,24,0,0.02,T,0
2011-03-08,52,32,42,-3,23,0,0,0,0
2011-03-09,48,36,42,-3.3,23,0,0.04,0,0
2011-03-10,56,46,51,5.4,14,0,1.41,0,0
2011-03-11,49,39,44,-1.9,21,0,0.02,0,0
2011-03-12,58,34,46,-0.2,19,0,0,0,0
2011-03-13,59,39,49,2.6,16,0,0,0,0
2011-03-14,53,37,45,-1.7,20,0,0,0,0
2011-03-15,51,35,43,-4.1,22,0,0.23,0,0
2011-03-16,57,41,49,1.6,16,0,0.41,0,0
2011-03-17,64,43,53.5,5.8,11,0,0,0,0
2011-03-18,80,48,64,16,1,0,0,0,0
2011-03-19,68,47,57.5,9.2,7,0,0,0,0
2011-03-20,54,38,46,-2.7,19,0,T,0,0
2011-03-21,70,43,56.5,7.5,8,0,0.19,0,0
2011-03-22,62,49,55.5,6.2,9,0,T,0,0
2011-03-23,52,44,48,-1.7,17,0,0.43,0,0
2011-03-24,44,37,40.5,-9.5,24,0,0.05,0,0
2011-03-25,49,32,40.5,-9.9,24,0,0,0,0
2011-03-26,47,32,39.5,-11.2,25,0,0,0,0
2011-03-27,46,31,38.5,-12.6,26,0,0.02,0.2,T
2011-03-28,47,31,39,-12.5,26,0,0,0,0
2011-03-29,51,34,42.5,-9.3,22,0,0,0,0
2011-03-30,48,38,43,-9.2,22,0,0.15,T,0
2011-03-31,42,37,39.5,-13.1,25,0,0.04,0,0
2012-03-01,70,46,58,14.8,7,0,0.05,0,0
2012-03-02,55,40,47.5,4.1,17,0,0.34,0,0
2012-03-03,63,48,55.5,11.8,9,0,0.16,0,0
2012-03-04,51,37,44,0.1,21,0,0,0,0
2012-03-05,46,32,39,-5.2,26,0,T,T,0
2012-03-06,49,29,39,-5.5,26,0,0,0,0
2012-03-07,67,40,53.5,8.8,11,0,0,0,0
2012-03-08,74,53,63.5,18.5,1,0,T,0,0
2012-03-09,67,41,54,8.7,11,0,0.01,0,0
2012-03-10,50,34,42,-3.6,23,0,0,0,0
2012-03-11,63,35,49,3.1,16,0,0,0,0
2012-03-12,72,45,58.5,12.3,6,0,0,0,0
2012-03-13,81,56,68.5,22.1,0,4,0.01,0,0
2012-03-14,81,54,67.5,20.8,0,3,0,0,0
2012-03-15,82,54,68,20.9,0,3,T,0,0
2012-03-16,59,51,55,7.6,10,0,0.02,0,0
2012-03-17,75,52,63.5,15.8,1,0,0,0,0
2012-03-18,68,52,60,12,5,0,T,0,0
2012-03-19,76,56,66,17.7,0,1,0.01,0,0
2012-03-20,72,62,67,18.3,0,2,0.11,0,0
2012-03-21,70,59,64.5,15.5,0,0,T,0,0
2012-03-22,78,59,68.5,19.2,0,4,T,0,0
2012-03-23,83,59,71,21.3,0,6,0,0,0
2012-03-24,67,54,60.5,10.5,4,0,0.1,0,0
2012-03-25,62,51,56.5,6.1,8,0,0.2,0,0
2012-03-26,60,42,51,0.3,14,0,0,0,0
2012-03-27,56,34,45,-6.1,20,0,0,0,0
2012-03-28,72,46,59,7.5,6,0,0.01,0,0
2012-03-29,70,50,60,8.2,5,0,0,0,0
2012-03-30,54,43,48.5,-3.7,16,0,T,0,0
2012-03-31,64,48,56,3.4,9,0,0,0,0
2013-03-01,46,38,42,-1.2,23,0,0,0,0
2013-03-02,39,32,35.5,-7.9,29,0,0,0,0
2013-03-03,44,30,37,-6.7,28,0,0,0,0
2013-03-04,46,30,38,-5.9,27,0,0,0,0
2013-03-05,53,32,42.5,-1.7,22,0,T,T,0
2013-03-06,41,34,37.5,-7,27,0,1.03,0.2,0
2013-03-07,52,37,44.5,-0.2,20,0,0,0,0
2013-03-08,52,38,45,0,20,0,0,0,0
2013-03-09,62,34,48,2.7,17,0,0,0,0
2013-03-10,63,37,50,4.4,15,0,0,0,0
2013-03-11,62,44,53,7.1,12,0,T,0,0
2013-03-12,60,42,51,4.8,14,0,0.83,0,0
2013-03-13,52,36,44,-2.4,21,0,T,0,0
2013-03-14,47,34,40.5,-6.2,24,0,0,0,0
2013-03-15,59,33,46,-1.1,19,0,0,0,0
2013-03-16,61,41,51,3.6,14,0,0.03,0,0
2013-03-17,43,37,40,-7.7,25,0,0,0,0
2013-03-18,40,33,36.5,-11.5,28,0,0.32,T,0
2013-03-19,60,39,49.5,1.2,15,0,0,0,0
2013-03-20,54,39,46.5,-2.2,18,0,0,0,0
2013-03-21,42,31,36.5,-12.5,28,0,T,T,0
